Region/Country/Area,Year,GDP real rates of growth (percent)_Value
Azerbaijan,2005,28
Angola,2005,15
Turks and Caicos Islands,2005,14.4
British Virgin Islands,2005,14.3
Armenia,2005,13.9
Grenada,2005,13.3
Myanmar,2005,13.3
Cambodia,2005,13.2
Anguilla,2005,13.1
Turkmenistan,2005,13
Libya,2005,12.3
Ethiopia,2005,11.8
China,2005,11.4
State of Palestine,2005,11.3
Cuba,2005,11.2
Latvia,2005,10.7
Kuwait,2005,10.6
Mali,2005,10.4
Venezuela (Boliv. Rep. of),2005,10.3
Uganda,2005,10
Kazakhstan,2005,9.7
Saint Kitts and Nevis,2005,9.7
Georgia,2005,9.6
Estonia,2005,9.5
Belarus,2005,9.4
Rwanda,2005,9.4
Dominican Republic,2005,9.3
Middle Africa,2005,9.2
Central Asia,2005,9
Seychelles,2005,9
Sudan [former],2005,9
Türkiye,2005,9
Argentina,2005,8.9
Equatorial Guinea,2005,8.9
Burkina Faso,2005,8.7
Mauritania,2005,8.6
"China, Macao SAR",2005,8.1
Jordan,2005,8.1
Antigua and Barbuda,2005,7.9
Chad,2005,7.9
India,2005,7.9
Lithuania,2005,7.7
Pakistan,2005,7.7
Congo,2005,7.6
Afghanistan,2005,7.5
Qatar,2005,7.5
Republic of Moldova,2005,7.5
Uruguay,2005,7.5
Viet Nam,2005,7.5
"China, Hong Kong SAR",2005,7.4
Niger,2005,7.4
Singapore,2005,7.4
Solomon Islands,2005,7.4
United Rep. of Tanzania,2005,7.4
Mongolia,2005,7.3
Panama,2005,7.2
Zambia,2005,7.2
Bhutan,2005,7.1
Bulgaria,2005,7.1
Sao Tome and Principe,2005,7.1
Southern Asia,2005,7
Uzbekistan,2005,7
Bahrain,2005,6.8
Lao People's Dem. Rep.,2005,6.8
Tajikistan,2005,6.7
Czechia,2005,6.6
Mozambique,2005,6.6
Slovakia,2005,6.6
Western Asia,2005,6.5
Cabo Verde,2005,6.5
Cayman Islands,2005,6.5
Eastern Africa,2005,6.4
Guyana,2005,6.4
Nigeria,2005,6.4
Russian Federation,2005,6.4
Sub-Saharan Africa,2005,6.3
Asia,2005,6.3
Peru,2005,6.3
Africa,2005,6.2
Eastern Asia,2005,6.2
Chile,2005,6.2
Ghana,2005,6.2
Sri Lanka,2005,6.2
Syrian Arab Republic,2005,6.2
Trinidad and Tobago,2005,6.2
Dem. Rep. of the Congo,2005,6.1
Honduras,2005,6.1
Iceland,2005,6.1
Northern Africa,2005,6
Western Africa,2005,6
Bangladesh,2005,6
Eswatini,2005,6
Algeria,2005,5.9
Kenya,2005,5.9
South-eastern Asia,2005,5.7
Indonesia,2005,5.7
Ireland,2005,5.7
Eastern Europe,2005,5.6
Saudi Arabia,2005,5.6
Senegal,2005,5.6
Albania,2005,5.5
Serbia,2005,5.5
South America,2005,5.4
Andorra,2005,5.4
Ecuador,2005,5.3
Liberia,2005,5.3
Malaysia,2005,5.3
South Africa,2005,5.3
Vanuatu,2005,5.3
Southern Africa,2005,5.2
Samoa,2005,5.1
Yemen,2005,5.1
Greenland,2005,5
Kiribati,2005,5
Cyprus,2005,4.9
Nepal,2005,4.9
Philippines,2005,4.9
United Arab Emirates,2005,4.9
Zanzibar,2005,4.9
Liechtenstein,2005,4.8
Colombia,2005,4.7
North Macedonia,2005,4.7
Romania,2005,4.7
Botswana,2005,4.6
Madagascar,2005,4.6
Latin America & the Caribbean,2005,4.5
Egypt,2005,4.5
Sierra Leone,2005,4.5
Bolivia (Plurin. State of),2005,4.4
Croatia,2005,4.3
Guinea-Bissau,2005,4.3
Hungary,2005,4.3
Iran (Islamic Republic of),2005,4.3
Nicaragua,2005,4.3
Republic of Korea,2005,4.3
Israel,2005,4.2
Montenegro,2005,4.2
Thailand,2005,4.2
Barbados,2005,4
Costa Rica,2005,4
Bosnia and Herzegovina,2005,3.9
Papua New Guinea,2005,3.9
Suriname,2005,3.9
Dem. People's Rep. Korea,2005,3.8
Slovenia,2005,3.8
Americas,2005,3.7
Spain,2005,3.7
Caribbean,2005,3.6
Djibouti,2005,3.6
Haiti,2005,3.6
New Caledonia,2005,3.6
Northern America,2005,3.5
Melanesia,2005,3.5
Poland,2005,3.5
Tunisia,2005,3.5
United States of America,2005,3.5
Bahamas,2005,3.4
Malta,2005,3.4
Guatemala,2005,3.3
Malawi,2005,3.3
New Zealand,2005,3.3
Brazil,2005,3.2
Canada,2005,3.2
Montserrat,2005,3.1
Ukraine,2005,3.1
Guinea,2005,3
Morocco,2005,3
Somalia,2005,3
Timor-Leste,2005,3
Northern Europe,2005,2.9
Oceania,2005,2.9
Australia and New Zealand,2005,2.9
Sweden,2005,2.9
Switzerland,2005,2.9
Australia,2005,2.8
Comoros,2005,2.8
Finland,2005,2.8
El Salvador,2005,2.7
Lebanon,2005,2.7
Lesotho,2005,2.7
Central America,2005,2.6
Norway,2005,2.6
United Kingdom,2005,2.6
Luxembourg,2005,2.5
Namibia,2005,2.5
Oman,2005,2.5
Saint Vincent & Grenadines,2005,2.5
Europe,2005,2.4
Central African Republic,2005,2.4
Belgium,2005,2.3
Denmark,2005,2.3
Marshall Islands,2005,2.3
Mexico,2005,2.3
San Marino,2005,2.3
Austria,2005,2.2
Belize,2005,2.2
Micronesia (Fed. States of),2005,2.1
Netherlands,2005,2.1
Palau,2005,2.1
Paraguay,2005,2.1
Micronesia,2005,2
Cameroon,2005,2
Southern Europe,2005,1.8
Japan,2005,1.8
Mauritius,2005,1.8
Benin,2005,1.7
Bermuda,2005,1.7
Côte d’Ivoire,2005,1.7
France,2005,1.7
Iraq,2005,1.7
Monaco,2005,1.7
Western Europe,2005,1.5
Polynesia,2005,1.5
Eritrea,2005,1.5
Kosovo,2005,1.5
French Polynesia,2005,1.4
Aruba,2005,1.2
Gabon,2005,1.1
Netherlands Antilles [former],2005,1.1
Burundi,2005,0.9
Jamaica,2005,0.9
Italy,2005,0.8
Portugal,2005,0.8
Dominica,2005,0.7
Fiji,2005,0.7
Germany,2005,0.7
Greece,2005,0.6
Brunei Darussalam,2005,0.4
Kyrgyzstan,2005,-0.2
Saint Lucia,2005,-0.4
Tonga,2005,-0.4
Cook Islands,2005,-1.1
Puerto Rico,2005,-2
Gambia,2005,-2.4
Tuvalu,2005,-4.1
Zimbabwe,2005,-4.1
Togo,2005,-4.7
Nauru,2005,-12.1
Maldives,2005,-13.1
